Day,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1,9:19,10:07,11:19,12:42,13:58,14:53,15:02,14:18,13:04,11:44,10:25,9:28
2,9:20,10:09,11:21,12:45,14:01,14:54,15:01,14:16,13:01,11:42,10:23,9:27
3,9:21,10:11,11:24,12:48,14:03,14:56,15:00,14:14,12:59,11:39,10:20,9:26
4,9:22,10:14,11:27,12:50,14:05,14:57,15:00,14:12,12:56,11:36,10:18,9:25
5,9:23,10:16,11:29,12:53,14:07,14:57,14:59,14:10,12:53,11:34,10:16,9:24
6,9:24,10:18,11:32,12:56,14:10,14:58,14:58,14:08,12:51,11:31,10:14,9:23
7,9:25,10:21,11:35,12:58,14:12,14:59,14:57,14:06,12:48,11:28,10:11,9:22
8,9:26,10:23,11:38,13:01,14:14,15:00,14:56,14:04,12:45,11:26,10:09,9:21
9,9:27,10:25,11:40,13:04,14:15,15:01,14:55,14:01,12:43,11:23,10:07,9:20
10,9:28,10:28,11:43,13:06,14:17,15:01,14:54,13:59,12:40,11:20,10:05,9:20
11,9:29,10:30,11:46,13:09,14:19,15:02,14:53,13:55,12:38,11:18,10:03,9:19
12,9:31,10:32,11:48,13:11,14:21,15:03,14:52,13:53,12:35,11:15,10:01,9:18
13,9:32,10:35,11:51,13:14,14:23,15:03,14:50,13:51,12:32,11:13,9:59,9:18
14,9:34,10:37,11:54,13:17,14:25,15:04,14:49,13:49,12:30,11:10,9:57,9:17
15,9:35,10:40,11:56,13:19,14:27,15:04,14:48,13:46,12:27,11:07,9:55,9:17
16,9:37,10:42,11:59,13:22,14:29,15:04,14:46,13:44,12:24,11:05,9:53,9:16
17,9:38,10:45,12:02,13:24,14:31,15:05,14:45,13:41,12:22,11:02,9:51,9:16
18,9:40,10:47,12:05,13:27,14:32,15:05,14:43,13:39,12:19,11:00,9:49,9:16
19,9:42,10:50,12:07,13:29,14:34,15:05,14:42,13:37,12:16,10:57,9:47,9:16
20,9:43,10:53,12:10,13:32,14:36,15:05,14:40,13:34,12:14,10:55,9:45,9:16
21,9:45,10:55,12:13,13:34,14:38,15:05,14:39,13:32,12:11,10:52,9:43,9:16
22,9:47,10:58,12:15,13:37,14:39,15:05,14:37,13:29,12:08,10:49,9:42,9:16
23,9:49,11:00,12:18,13:39,14:41,15:05,14:35,13:27,12:06,10:47,9:40,9:16
24,9:51,11:03,12:21,13:42,14:42,15:05,14:34,13:24,12:03,10:44,9:38,9:16
25,9:52,11:06,12:24,13:44,14:44,15:04,14:32,13:22,12:00,10:42,9:37,9:16
26,9:54,11:08,12:26,13:47,14:45,15:04,14:30,13:19,11:58,10:40,9:35,9:17
27,9:56,11:11,12:29,13:49,14:47,15:04,14:28,13:17,11:55,10:37,9:34,9:17
28,9:58,11:13,12:32,13:51,14:48,15:03,14:26,13:14,11:52,10:35,9:32,9:17
29,10:01,11:16,12:34,13:54,14:50,15:03,14:24,13:11,11:50,10:32,9:31,9:18
30,10:03,,12:37,13:56,14:51,15:02,14:22,13:09,11:47,10:30,9:30,9:19
31,10:05,,12:40,,14:52,,14:20,13:06,,10:27,,9:19
