Date,Value,Anomaly
201201,3.23,-0.41
201202,1.37,-1.82
201203,0.96,-3.33
201204,3.56,-0.53
201205,5.37,1.41
201206,2.98,-1.56
201207,4.21,-0.39
201208,2.92,-1.64
201209,4.39,0.08
201210,2.93,-1.45
201211,1.81,-1.77
201212,4.80,0.42
201301,2.76,-0.88
201302,4.25,1.06
201303,2.89,-1.40
201304,1.31,-2.78
201305,8.00,4.04
201306,10.11,5.57
201307,2.84,-1.76
201308,2.85,-1.71
201309,2.95,-1.36
201310,0.36,-4.02
201311,3.16,-0.42
201312,4.85,0.47
201401,2.80,-0.84
201402,5.48,2.29
201403,3.67,-0.62
201404,7.85,3.76
201405,4.37,0.41
201406,4.26,-0.28
201407,5.59,0.99
201408,2.25,-2.31
201409,1.21,-3.10
201410,5.78,1.40
201411,4.51,0.93
201412,6.04,1.66
201501,5.22,1.58
201502,2.04,-1.15
201503,4.73,0.44
201504,2.08,-2.01
201505,1.86,-2.10
201506,4.79,0.25
201507,3.97,-0.63
201508,2.35,-2.21
201509,3.28,-1.03
201510,3.91,-0.47
201511,2.02,-1.56
201512,4.72,0.34
201601,4.41,0.77
201602,4.41,1.22
201603,1.17,-3.12
201604,1.62,-2.47
201605,3.76,-0.20
201606,2.60,-1.94
201607,7.02,2.42
201608,1.98,-2.58
201609,2.80,-1.51
201610,4.15,-0.23
201611,5.41,1.83
201612,2.89,-1.49
201701,4.83,1.19
201702,2.48,-0.71
201703,5.25,0.96
201704,3.84,-0.25
201705,6.38,2.42
201706,4.77,0.23
201707,4.19,-0.41
201708,3.34,-1.22
201709,2.00,-2.31
201710,4.19,-0.20
201711,1.58,-2.00
201712,2.21,-2.17
201801,2.18,-1.46
201802,5.83,2.64
201803,5.17,0.88
201804,5.78,1.69
201805,3.53,-0.43
201806,3.11,-1.43
201807,7.45,2.85
201808,8.60,4.04
201809,6.19,1.88
201810,3.59,-0.79
201811,7.63,4.05
201812,6.51,2.13
201901,3.58,-0.06
201902,3.14,-0.05
201903,3.87,-0.42
201904,4.56,0.47
201905,6.82,2.86
201906,5.45,0.91
201907,5.78,1.18
201908,3.70,-0.86
201909,0.95,-3.36
201910,6.16,1.78
201911,1.95,-1.63
201912,7.09,2.71
