Date,Value,Anomaly
201201,2.50,-0.75
201202,1.34,-1.59
201203,1.00,-3.01
201204,3.18,-0.67
201205,4.67,1.09
201206,4.19,0.16
201207,3.78,-0.52
201208,2.96,-1.45
201209,5.06,1.18
201210,2.39,-1.42
201211,1.35,-1.80
201212,4.31,0.23
201301,2.64,-0.61
201302,3.20,0.27
201303,2.43,-1.58
201304,1.16,-2.69
201305,4.99,1.41
201306,8.17,4.14
201307,2.80,-1.50
201308,1.98,-2.43
201309,3.30,-0.58
201310,0.44,-3.37
201311,2.77,-0.38
201312,4.47,0.39
201401,2.37,-0.88
201402,4.93,2.00
201403,3.66,-0.35
201404,8.23,4.38
201405,4.70,1.12
201406,3.69,-0.34
201407,3.99,-0.31
201408,3.51,-0.90
201409,1.24,-2.64
201410,3.90,0.09
201411,3.92,0.77
201412,6.21,2.13
201501,4.98,1.73
201502,2.10,-0.83
201503,4.55,0.54
201504,1.82,-2.04
201505,1.61,-1.97
201506,4.80,0.77
201507,3.54,-0.76
201508,1.88,-2.53
201509,2.51,-1.37
201510,3.39,-0.42
201511,1.70,-1.45
201512,4.34,0.26
201601,4.18,0.93
201602,4.36,1.43
201603,1.26,-2.75
201604,1.67,-2.18
201605,3.93,0.35
201606,2.24,-1.79
201607,4.98,0.68
201608,1.13,-3.28
201609,2.53,-1.35
201610,4.82,1.01
201611,5.37,2.22
201612,2.96,-1.12
201701,4.13,0.88
201702,1.87,-1.06
201703,4.69,0.68
201704,4.10,0.25
201705,6.00,2.42
201706,4.38,0.35
201707,4.32,0.02
201708,3.53,-0.88
201709,1.84,-2.04
201710,3.78,-0.03
201711,2.06,-1.09
201712,2.05,-2.03
201801,2.12,-1.13
201802,5.95,3.02
201803,4.09,0.08
201804,5.02,1.17
201805,3.24,-0.34
201806,3.61,-0.42
201807,5.28,0.98
201808,6.65,2.24
201809,5.89,2.01
201810,3.02,-0.79
201811,7.09,3.94
201812,6.90,2.82
201901,3.93,0.68
201902,3.34,0.41
201903,3.64,-0.37
201904,4.42,0.57
201905,6.38,2.80
201906,4.89,0.86
201907,6.11,1.81
201908,3.13,-1.28
201909,0.65,-3.23
201910,5.58,1.77
201911,1.63,-1.52
201912,7.17,3.09
