Date,Value,Anomaly
201201,37.8,4.1
201202,41.4,5.6
201203,51.4,8.6
201204,55.3,1.7
201205,65.6,2.4
201206,71.5,-0.5
201207,79.3,1.8
201208,77.2,1.2
201209,69.3,0.1
201210,58.6,0.6
201211,44.4,-3.6
201212,42.0,3.0
201301,35.6,1.9
201302,34.4,-1.4
201303,40.6,-2.2
201304,53.5,-0.1
201305,63.3,0.1
201306,73.1,1.1
201307,80.3,2.8
201308,74.6,-1.4
201309,67.9,-1.3
201310,60.2,2.3
201311,45.3,-2.7
201312,38.6,-0.4
201401,28.7,-5.0
201402,31.7,-4.1
201403,37.7,-5.1
201404,52.3,-1.3
201405,64.0,0.8
201406,72.5,0.5
201407,76.2,-1.3
201408,74.5,-1.5
201409,69.7,0.5
201410,59.6,1.7
201411,45.3,-2.7
201412,40.6,1.6
201501,30.0,-3.7
201502,24.1,-11.7
201503,38.1,-4.7
201504,54.3,0.7
201505,68.5,5.3
201506,71.2,-0.8
201507,78.8,1.3
201508,79.0,3.0
201509,74.4,5.2
201510,58.1,0.2
201511,52.8,4.8
201512,50.8,11.8
201601,34.5,0.8
201602,37.8,2.0
201603,48.9,6.1
201604,53.3,-0.3
201605,62.8,-0.4
201606,72.2,0.2
201607,78.7,1.2
201608,79.2,3.2
201609,71.8,2.6
201610,58.8,0.9
201611,49.8,1.8
201612,38.4,-0.6
201701,38.1,4.4
201702,41.7,5.9
201703,39.2,-3.6
201704,57.1,3.5
201705,61.1,-2.1
201706,72.0,0.0
201707,76.8,-0.7
201708,74.0,-2.0
201709,70.5,1.3
201710,64.1,6.2
201711,46.7,-1.3
201712,35.1,-3.9
201801,31.8,-1.9
201802,42.1,6.3
201803,40.2,-2.6
201804,49.5,-4.1
201805,66.9,3.7
201806,71.7,-0.3
201807,77.6,0.1
201808,78.1,2.1
201809,70.7,1.5
201810,57.7,-0.2
201811,44.4,-3.6
201812,40.2,1.2
201901,32.6,-1.1
201902,36.3,0.5
201903,41.8,-1.0
201904,55.5,1.9
201905,62.2,-1.0
201906,71.7,-0.3
201907,79.6,2.1
201908,75.5,-0.5
201909,70.4,1.2
201910,59.9,2.0
201911,43.9,-4.1
201912,38.4,-0.6
