Date,Value,Anomaly
201201,2.19,-1.04
201202,1.26,-1.50
201203,1.13,-2.81
201204,2.97,-0.58
201205,7.09,3.43
201206,6.88,3.03
201207,1.54,-2.32
201208,4.03,-0.08
201209,4.06,0.48
201210,2.23,-1.49
201211,1.56,-1.51
201212,4.94,0.98
201301,2.39,-0.84
201302,2.74,-0.02
201303,2.32,-1.62
201304,1.79,-1.76
201305,4.04,0.38
201306,7.96,4.11
201307,2.27,-1.59
201308,2.73,-1.38
201309,1.93,-1.65
201310,0.33,-3.39
201311,2.54,-0.53
201312,4.50,0.54
201401,3.01,-0.22
201402,4.59,1.83
201403,4.26,0.32
201404,6.98,3.43
201405,3.61,-0.05
201406,2.61,-1.24
201407,4.84,0.98
201408,4.23,0.12
201409,1.43,-2.15
201410,3.69,-0.03
201411,4.48,1.41
201412,7.04,3.08
201501,5.32,2.09
201502,2.36,-0.40
201503,4.88,0.94
201504,1.61,-1.94
201505,0.46,-3.20
201506,4.99,1.14
201507,2.31,-1.55
201508,3.63,-0.48
201509,2.58,-1.00
201510,4.20,0.48
201511,1.20,-1.87
201512,4.79,0.83
201601,4.59,1.36
201602,4.05,1.29
201603,1.39,-2.55
201604,1.24,-2.31
201605,3.72,0.06
201606,1.61,-2.24
201607,6.06,2.20
201608,0.63,-3.48
201609,2.87,-0.71
201610,3.33,-0.39
201611,3.48,0.41
201612,3.06,-0.90
201701,4.65,1.42
201702,1.58,-1.18
201703,5.80,1.86
201704,4.07,0.52
201705,5.83,2.17
201706,4.20,0.35
201707,4.66,0.80
201708,2.50,-1.61
201709,2.20,-1.38
201710,4.21,0.49
201711,1.81,-1.26
201712,1.65,-2.31
201801,1.83,-1.40
201802,5.93,3.17
201803,5.09,1.15
201804,3.30,-0.25
201805,4.08,0.42
201806,3.88,0.03
201807,4.75,0.89
201808,4.69,0.57
201809,5.99,2.41
201810,3.33,-0.39
201811,7.80,4.73
201812,6.76,2.80
201901,4.01,0.78
201902,3.56,0.80
201903,3.96,0.02
201904,4.49,0.94
201905,6.76,3.10
201906,5.34,1.49
201907,5.40,1.54
201908,3.16,-0.95
201909,1.11,-2.47
201910,4.69,0.96
201911,1.53,-1.54
201912,8.03,4.07
