Date,Value,Anomaly
201201,36.7,3.8
201202,39.9,5.3
201203,48.1,7.0
201204,53.7,2.8
201205,63.5,3.1
201206,70.4,0.2
201207,78.0,1.7
201208,76.3,1.3
201209,68.7,0.4
201210,58.7,1.5
201211,43.2,-3.6
201212,41.3,3.0
201301,34.6,1.7
201302,33.6,-1.0
201303,39.6,-1.5
201304,50.2,-0.7
201305,59.5,-0.9
201306,70.0,-0.2
201307,79.1,2.8
201308,73.5,-1.5
201309,66.1,-2.2
201310,59.0,1.8
201311,44.4,-2.4
201312,37.2,-1.1
201401,27.8,-5.1
201402,30.3,-4.3
201403,36.5,-4.6
201404,49.1,-1.8
201405,61.6,1.2
201406,70.7,0.5
201407,74.5,-1.8
201408,73.1,-1.9
201409,68.8,0.5
201410,58.9,1.7
201411,44.1,-2.7
201412,40.5,2.2
201501,29.9,-3.0
201502,23.7,-10.9
201503,36.9,-4.2
201504,51.7,0.8
201505,63.3,2.9
201506,70.3,0.1
201507,77.5,1.2
201508,77.6,2.6
201509,72.1,3.8
201510,56.9,-0.3
201511,51.6,4.8
201512,49.4,11.1
201601,34.1,1.2
201602,37.3,2.7
201603,46.6,5.5
201604,50.3,-0.6
201605,60.1,-0.3
201606,70.6,0.4
201607,77.8,1.5
201608,78.6,3.6
201609,71.0,2.7
201610,58.7,1.5
201611,49.3,2.5
201612,38.4,0.1
201701,37.5,4.6
201702,40.1,5.5
201703,38.5,-2.6
201704,54.8,3.9
201705,59.9,-0.5
201706,70.5,0.3
201707,75.8,-0.5
201708,73.7,-1.3
201709,70.0,1.7
201710,63.4,6.2
201711,46.1,-0.7
201712,35.1,-3.2
201801,30.3,-2.6
201802,39.9,5.3
201803,39.4,-1.7
201804,47.0,-3.9
201805,63.4,3.0
201806,69.5,-0.7
201807,76.4,0.1
201808,77.5,2.5
201809,70.6,2.3
201810,57.9,0.7
201811,44.3,-2.5
201812,39.9,1.6
201901,32.5,-0.4
201902,35.4,0.8
201903,40.1,-1.0
201904,52.6,1.7
201905,60.5,0.1
201906,70.7,0.5
201907,78.8,2.5
201908,75.3,0.3
201909,69.4,1.1
201910,59.5,2.3
201911,43.3,-3.5
201912,38.1,-0.2
