Date,Value,Anomaly
201201,38.3,3.9
201202,42.2,5.9
201203,51.6,8.6
201204,56.5,2.9
201205,66.6,2.9
201206,73.7,0.4
201207,81.2,2.1
201208,79.5,1.8
201209,71.5,0.7
201210,60.8,1.2
201211,45.9,-3.1
201212,43.5,3.5
201301,36.6,2.2
201302,35.3,-1.0
201303,41.3,-1.7
201304,53.5,-0.1
201305,64.3,0.6
201306,74.8,1.5
201307,82.0,2.9
201308,76.6,-1.1
201309,68.9,-1.9
201310,61.7,2.1
201311,46.3,-2.7
201312,39.0,-1.0
201401,29.6,-4.8
201402,32.3,-4.0
201403,38.0,-5.0
201404,51.8,-1.8
201405,64.3,0.6
201406,73.3,0.0
201407,77.8,-1.3
201408,75.9,-1.8
201409,71.2,0.4
201410,61.1,1.5
201411,46.3,-2.7
201412,41.4,1.4
201501,30.7,-3.7
201502,25.1,-11.2
201503,38.7,-4.3
201504,54.1,0.5
201505,67.8,4.1
201506,72.1,-1.2
201507,79.5,0.4
201508,79.6,1.9
201509,74.4,3.6
201510,58.7,-0.9
201511,53.6,4.6
201512,51.1,11.1
201601,36.0,1.6
201602,38.7,2.4
201603,49.3,6.3
201604,53.5,-0.1
201605,63.6,-0.1
201606,73.6,0.3
201607,81.1,2.0
201608,81.6,3.9
201609,73.8,3.0
201610,61.2,1.6
201611,52.4,3.4
201612,40.3,0.3
201701,39.7,5.3
201702,42.8,6.5
201703,41.1,-1.9
201704,57.6,4.0
201705,63.2,-0.5
201706,73.6,0.3
201707,78.1,-1.0
201708,75.4,-2.3
201709,71.5,0.7
201710,65.5,5.9
201711,48.1,-0.9
201712,36.3,-3.7
201801,31.5,-2.9
201802,42.5,6.2
201803,40.8,-2.2
201804,49.4,-4.2
201805,67.4,3.7
201806,73.0,-0.3
201807,79.8,0.7
201808,81.0,3.3
201809,73.0,2.2
201810,59.5,-0.1
201811,46.1,-2.9
201812,41.2,1.2
201901,34.1,-0.3
201902,37.1,0.8
201903,41.5,-1.5
201904,55.2,1.6
201905,63.1,-0.7
201906,73.5,0.2
201907,81.4,2.3
201908,77.7,0.0
201909,72.1,1.3
201910,62.0,2.4
201911,45.1,-3.9
201912,39.6,-0.4
